Agent,KML name,Phone norm,Description,Latitude,Longitude
Mohidil,bek market,931369990,"99893 136 99 90, svetafordan utib ,",40.441799,70.883904
Mohidil,turon market,905067777,"99890 506 77 77, turon istadyon yonida,",40.375401,70.826797
Mohidil,snikers market,911495666,"99891 149 56 66, yozor oldi ,",40.3811,70.810303
Mohidil,ziyo market,911534149,"99891 153 41 49, yaypan bozori icida,",40.380699,70.808701
Mohidil,Grand Market,917356520,"+998917356520, Sentr,",40.366402,70.750397
Mohidil,Al Ne'mat 2,912010808,"+998912010808, Medical Servis ,",40.529202,70.931099
Mohidil,Madina Market,905885599,"+998905885599, Orzu Food Yoni,",40.520401,70.930801
Mohidil,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Mohidil,palma market,911539131,"+998911539131, yul buyida ,",40.4701,70.769699
Mohidil,Ezgu Market,905502854,"+998905502854, Suddi Yuparasi Domlar Arasi,",40.5424,70.9226
Mohidil,Zulfiqor Market,905061491,"+998905061491, Sport Shkola Roʻparasi,",40.5457,70.929298
Mohidil,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Mohidil,Madina Market,905885599,"+998905885599, Orzu Food Yoni,",40.520401,70.930801
Mohidil,Ruzgor Eko Market,905897700,"+998905897700, Oydin Baliq Taraf,",40.562698,70.957199
Mohidil,Farrux Fayz,974136444,"+998974136444, Yakka Tut center,",40.407398,70.521202
Shoxista,Koppon 14 Dukon,906541070,"Ilxomjon, +998906541070, Koppon Ichi,",40.5256,70.954201
Shoxista,arivo,953387979,"+998953387979, derzli maschid yoni,",40.5355,70.956497
Shaxzoda,Al Ne'mat 2,912010808,"+998912010808, Medical Servis ,",40.529202,70.931099
Shaxzoda,Madina Market,905885599,"+998905885599, Orzu Food Yoni,",40.520401,70.930801
Shaxzoda,Ezgu Market,905502854,"+998905502854, Suddi Yuparasi Domlar Arasi,",40.5424,70.9226
Shaxzoda,Zulfiqor Market,905061491,"+998905061491, Sport Shkola Roʻparasi,",40.5457,70.929298
Shaxzoda,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Akbarjon,Ruzgor Eko Market,905897700,"+998905897700, Oydin Baliq Taraf,",40.562698,70.957199
Akbarjon,palma market,911539131,"+998911539131, yul buyida ,",40.4701,70.769699
Akbarjon,Farrux Fayz,974136444,"+998974136444, Yakka Tut center,",40.407398,70.521202
Akbarjon,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Akbarjon,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Akbarjon,Ruzgor Eko Market,905897700,"+998905897700, Oydin Baliq Taraf,",40.562698,70.957199
