Agent,KML name,Phone norm,Description,Latitude,Longitude
Mohidil,bek market,931369990,"99893 136 99 90, svetafordan utib ,",40.441799,70.883904
Mohidil,turon market,905067777,"99890 506 77 77, turon istadyon yonida,",40.375401,70.826797
Mohidil,snikers market,911495666,"99891 149 56 66, yozor oldi ,",40.3811,70.810303
Mohidil,ziyo market,911534149,"99891 153 41 49, yaypan bozori icida,",40.380699,70.808701
Mohidil,Grand Market,917356520,"+998917356520, Sentr,",40.366402,70.750397
Mohidil,olcha market,017310010,"99877 017 31 00, 10 maktab yonida,",40.348801,70.821602
Mohidil,mini market,917357727,"99891 735 77 27, mega ziyo yoni,",40.407902,70.849503
Mohidil,nur market,099939321,"99897 099 93 93, 21 maktabdan utib,",40.4729,70.864601
Mohidil,777 Market,202001421,"+998912020014, 21 Maktabga Yetme,",40.468201,70.862396
Mohidil,Bek Market,953310770,"+998953310770, Tarona Tuyhona Oldi,",40.368099,70.764397
Mohidil,Ziyo Market,,,40.380798,70.808403
Mohidil,Al Ne'mat 2,912010808,"+998912010808, Medical Servis ,",40.529202,70.931099
Mohidil,Madina Market,905885599,"+998905885599, Orzu Food Yoni,",40.520401,70.930801
Mohidil,Olim Aka Doʻkon,169551051,"+998916955105, 1 Chi Maktabdan Chapka,",40.531399,70.924599
Mohidil,mini market,904088849,"99890 408 88 49, akademik litse ruparasi ,",40.3825,71.257202
Mohidil,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Mohidil,palma market,911539131,"+998911539131, yul buyida ,",40.4701,70.769699
Mohidil,Safo Market,685535381,"+998916855353, 81 Pete Oldi,",40.5159,70.922096
Mohidil,Ezgu Market,905502854,"+998905502854, Suddi Yuparasi Domlar Arasi,",40.5424,70.9226
Mohidil,Zulfiqor Market,905061491,"+998905061491, Sport Shkola Roʻparasi,",40.5457,70.929298
Mohidil,mini market,905650922,"+998905650922, turon maktab yoni,",40.476398,70.7481
Mohidil,Rado Market,993092393,"+998993092393, Tulaboy Masjid Roparasi,",40.568401,70.949203
Mohidil,Madina Market,905885599,"+998905885599, Orzu Food Yoni,",40.520401,70.930801
Mohidil,Ruzgor Eko Market,905897700,"+998905897700, Oydin Baliq Taraf,",40.562698,70.957199
Mohidil,mini market,945512083,"+998945512083, zikir magazeniga yetme,",40.546299,71.084099
Mohidil,Mini Market,941165909,"+998941165909,",40.565498,71.143501
Mohidil,Pepsi Market,996303305,"+998996303305,",40.599098,71.1604
Mohidil,Super Market,888200210,"+998888200210, Takka tut Arka Oldi,",40.407799,70.520599
Mohidil,Farrux Fayz,974136444,"+998974136444, Yakka Tut center,",40.407398,70.521202
Mohidil,Shukrona Market,301626224,"+998903016262, 24 Petak,",40.535702,70.890999
Shoxista,Arzon Market,913230111,"+998913230111, Non Bozor Yoni,",40.524799,70.955597
Shoxista,Koppon 14 Dukon,905641070,"+998905641070, Koppon Ichi,",40.526402,70.954903
Shoxista,Ayubcon Market,019603018,"+9989310196030, 18 Maktab Utkanda,",40.5299,70.960403
Shoxista,Mini Market,200463618,"+998932004636, 18 Maktab Utib,",40.5303,70.960098
Shoxista,Koppon 14 Dukon,906541070,"Ilxomjon, +998906541070, Koppon Ichi,",40.5256,70.954201
Shoxista,Mukammal,169466669,"+998916946666, 9 Moy ,",40.538101,70.969803
Shoxista,Bonu Market,588167629,"+998905881676, 29 Maktab,",40.539501,70.966003
Shoxista,Zamin Market,303353531,"+998903033535, 31 Maktab Yoni,",40.5443,70.9804
Shoxista,Kantener Market,151763031,"+998901517630, 31 Maktab Arqasi,",40.544201,70.9785
Shoxista,222 Market,683008428,"+998916830084, 28 Boxcha Roparasi,",40.5424,70.978203
Shoxista,Sharq Eski 1,556559067,"+998905565590, 67 Uy,",40.536301,70.971802
Shoxista,Okey Market,509704029,"+998905097040,  29 Maktab,",40.540699,70.9674
Shoxista,arivo,953387979,"+998953387979, derzli maschid yoni,",40.5355,70.956497
Shoxista,Alisher Navoi Maxmudjon Market,853800448,"+998908538004, Mukamal Arqasi 48 Dom Roparasi,",40.5397,70.9673
Shoxista,Sohil Market,057077731,"+998905707773, Turkiston 1 Dan Utib,",40.524899,70.943901
Shoxista,Pepsi Market,736577232,"+998917365772, 32 Boxcha Yoni,",40.479401,70.9888
Shoxista,Anor Market,513233130,"+998995132331, 30 Maktab Yoni,",40.477798,70.987198
